kepid,kepoi_name,koi_disposition,koi_score
8246781,K01067.01,FALSE POSITIVE,0.0000
8264070,K01068.01,FALSE POSITIVE,0.0000
8222813,K01069.01,CONFIRMED,1.0000
6359320,K01127.02,CONFIRMED,1.0000
6359320,K01127.03,CANDIDATE,1.0000
6362874,K01128.01,CONFIRMED,1.0000
6272413,K01129.01,CONFIRMED,1.0000
8279765,K01130.01,FALSE POSITIVE,0.0000
8330548,K01132.01,FALSE POSITIVE,0.0000
3348082,K01196.01,FALSE POSITIVE,0.0000
3853673,K01197.01,FALSE POSITIVE,0.0000
3447722,K01198.01,CONFIRMED,0.9860
3447722,K01198.02,CONFIRMED,0.9940
3447722,K01198.03,CONFIRMED,0.9980
3447722,K01198.04,CANDIDATE,
1432214,K00998.01,FALSE POSITIVE,0.0000
2165002,K00999.01,CONFIRMED,1.0000
2165002,K00999.02,CONFIRMED,1.0000
2441728,K01000.01,FALSE POSITIVE,0.0000
1871056,K01001.01,CONFIRMED,0.9760
8222813,K01069.02,CONFIRMED,1.0000
12105051,K00141.01,CANDIDATE,1.0000
8240904,K01070.01,CONFIRMED,1.0000
8240904,K01070.02,CONFIRMED,1.0000
8240904,K01070.03,CANDIDATE,
8374494,K01133.01,FALSE POSITIVE,0.0000
5735762,K00148.02,CONFIRMED,1.0000
8414907,K01134.01,FALSE POSITIVE,0.0000
8414907,K01134.02,FALSE POSITIVE,0.0000
8397446,K01135.01,FALSE POSITIVE,0.0000
8386035,K01136.01,FALSE POSITIVE,0.0000
3962243,K01203.02,CONFIRMED,0.9850
3962243,K01203.03,CONFIRMED,0.8290
3438507,K01204.01,CONFIRMED,1.0000
3869014,K01205.01,CONFIRMED,1.0000
3756801,K01206.01,CANDIDATE,
1871056,K01001.02,CONFIRMED,0.9910
1865042,K01002.01,CONFIRMED,0.9980
2438502,K01003.01,FALSE POSITIVE,0.0460
2309585,K01004.01,FALSE POSITIVE,0.0000
5780460,K01005.01,CONFIRMED,1.0000
8244190,K01071.01,FALSE POSITIVE,0.0000
